total_funding_usd,category,number_of_funding_rounds,number_of_business_milestones,relationships,number_of_employees,company_age,region
0,web,0,1,1,10,2,Asia
1507645,software,1,1,2,8,22,Americas
0,NA,0,NA,3,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,web,0,NA,NA,NA,8,NA
0,software,0,2,8,95,3,Asia
23e4,manufacturing,1,NA,1,NA,5,Americas
0,other,0,NA,NA,4,3,NA
0,software,0,1,1,4,10,Europe
224e3,software,1,NA,NA,NA,9,Europe
8e5,legal,2,2,3,4,0,Americas
0,ecommerce,0,1,4,90,8,Europe
0,other,0,1,3,5,1,Europe
12e6,web,2,3,12,NA,5,Americas
4e5,ecommerce,1,NA,3,NA,NA,Americas
4744950,hardware,1,NA,2,NA,NA,Europe
9370065,web,1,NA,2,NA,NA,Americas
0,web,0,1,2,2,4,Americas
0,ecommerce,0,1,1,100,13,Asia
5286e3,biotech,4,NA,4,10,6,Americas
15e4,enterprise,1,1,2,4,5,Americas
1e6,mobile,2,2,3,7,3,Americas
0,analytics,1,3,13,50,4,Americas
0,consulting,0,1,1,5,2,Americas
45e4,software,1,2,5,10,6,Americas
28e4,mobile,1,1,4,1,2,Americas
0,web,0,1,1,2,1,Americas
0,NA,0,NA,2,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,public_relations,0,1,1,4,12,Americas
0,hardware,0,1,3,20,18,Americas
0,consulting,0,1,1,7,10,Americas
2e5,advertising,2,2,7,4,4,Americas
22e4,web,2,2,7,0,3,Americas
0,ecommerce,0,1,1,12,2,Americas
0,NA,0,1,1,NA,NA,NA
25e5,messaging,2,2,4,6,3,Americas
0,other,1,NA,3,NA,24,Europe
0,NA,0,NA,1,NA,NA,NA
6e6,software,1,2,7,20,7,Americas
0,NA,0,NA,NA,NA,NA,NA
0,ecommerce,0,NA,1,4,3,Asia
0,NA,0,NA,1,NA,NA,NA
1626e3,software,1,NA,3,NA,NA,Europe
0,health,0,2,2,NA,3,Asia
4889463,software,1,1,4,5,2,Europe
0,web,0,NA,NA,NA,NA,NA
0,other,0,NA,NA,1,2,Americas
0,NA,0,NA,1,NA,NA,NA
0,NA,0,1,2,NA,NA,NA
32909517,biotech,3,NA,3,NA,20,Americas
0,health,0,NA,NA,NA,NA,NA
63e5,software,2,NA,NA,NA,8,Asia
466e5,mobile,4,3,27,79,4,Americas
0,web,0,1,4,5,4,Europe
2855541,games_video,2,1,4,10,2,Europe
14e6,enterprise,3,3,14,19,5,Americas
0,NA,0,NA,2,NA,NA,Americas
0,games_video,0,2,1,15,2,NA
0,ecommerce,0,1,1,8,2,Americas
0,web,0,1,1,NA,NA,NA
15e3,security,1,1,2,NA,0,Americas
1059e4,analytics,3,2,4,20,4,Americas
45e5,advertising,2,1,9,20,4,Americas
0,NA,0,NA,1,NA,NA,NA
145e5,cleantech,2,1,2,NA,NA,Americas
1281800,web,1,3,4,11,4,Europe
1e6,other,1,NA,NA,6,NA,Americas
0,software,0,NA,1,1,1,Europe
1e6,finance,1,1,4,9,2,Americas
0,web,0,1,3,3,3,Americas
0,web,0,1,2,2,2,NA
0,NA,0,1,1,NA,NA,NA
1e6,mobile,2,1,2,2,0,Americas
4e4,mobile,2,1,1,3,2,Asia
6553e3,enterprise,3,NA,NA,NA,2,Americas
0,advertising,0,1,1,10,3,Americas
0,web,0,1,3,2,4,Americas
43e4,ecommerce,3,1,2,NA,3,Asia
0,mobile,0,NA,NA,NA,39,NA
0,games_video,0,1,1,7,11,Americas
0,web,0,NA,NA,NA,2,NA
0,web,0,1,3,3,2,Americas
654e5,biotech,3,2,20,NA,7,Americas
17e6,advertising,3,3,12,30,5,Americas
49e4,analytics,2,1,2,32,2,Asia
0,games_video,0,2,2,2,4,Americas
0,web,0,1,6,12,6,Americas
0,advertising,0,1,1,8,1,Americas
0,NA,0,NA,NA,NA,NA,Asia
0,software,0,NA,1,NA,NA,Europe
1865e3,biotech,1,NA,1,NA,NA,Americas
792e4,cleantech,1,NA,NA,NA,16,Europe
74996,software,2,2,8,4,5,Americas
18e6,education,2,1,2,NA,NA,Americas
0,NA,0,NA,19,NA,12,Americas
97e6,health,4,4,18,300,6,Americas
1e6,hospitality,1,2,2,6,2,Americas
1015685,biotech,1,NA,1,NA,NA,Americas
0,consulting,0,NA,NA,NA,NA,Americas
0,software,0,NA,NA,5,3,NA
1525e3,social,2,3,6,25,4,Americas
25e4,mobile,2,2,3,4,2,Europe
0,NA,0,NA,NA,NA,NA,NA
8e6,biotech,2,NA,NA,NA,NA,Americas
294e6,cleantech,4,3,22,68,6,Americas
0,software,0,1,1,NA,22,Asia
2474615,biotech,1,NA,2,7,3,Europe
19525e3,enterprise,5,3,9,32,5,Americas
0,analytics,1,2,4,14,1,Americas
14e5,software,3,1,2,20,4,Americas
0,web,0,1,1,6,1,Americas
0,NA,0,NA,1,NA,NA,NA
0,ecommerce,0,1,3,3,1,Americas
0,mobile,0,NA,NA,NA,NA,NA
0,web,2,1,5,15,2,Europe
38099998,enterprise,3,3,9,NA,4,Americas
2505e3,software,2,NA,4,NA,4,Americas
11e5,software,1,NA,2,NA,1,Americas
5999999,search,2,3,4,2,5,Americas
0,consulting,0,1,4,6,6,NA
0,mobile,0,1,2,2,1,Americas
0,NA,0,NA,NA,NA,NA,Americas
0,games_video,0,1,5,5,1,Americas
0,web,0,NA,NA,10,1,NA
6e4,analytics,1,1,5,9,2,Americas
7e6,finance,1,NA,3,NA,NA,Americas
0,other,0,NA,NA,NA,NA,NA
44e5,biotech,1,NA,3,NA,NA,Asia
79e6,network_hosting,4,1,6,170,16,Americas
33e6,mobile,3,2,17,NA,9,Asia
0,other,0,NA,NA,NA,NA,Americas
0,NA,0,1,7,NA,NA,NA
0,finance,0,NA,NA,NA,NA,NA
0,software,0,1,1,80,21,Americas
1e6,ecommerce,1,1,4,85,14,Americas
0,enterprise,0,1,7,50,9,Americas
67e3,social,1,1,2,9,2,Europe
3625e3,social,2,1,1,4,3,Americas
0,NA,0,1,1,NA,NA,NA
461e4,software,1,1,NA,NA,10,Europe
0,public_relations,1,2,5,40,7,Americas
780120,manufacturing,1,NA,NA,NA,1,Europe
0,games_video,0,NA,NA,NA,2,Americas
0,software,0,1,5,25,7,Americas
0,software,0,1,3,100,44,Americas
95e5,mobile,1,2,8,33,5,Europe
0,NA,0,NA,NA,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,advertising,0,1,4,10,6,Asia
18885,advertising,1,1,2,6,2,Europe
0,mobile,0,2,4,NA,3,Asia
13e5,health,1,NA,NA,NA,5,Americas
0,search,0,1,2,2,2,Americas
1e6,games_video,1,1,3,15,4,Americas
64e3,software,2,3,1,5,1,Europe
0,ecommerce,1,1,1,7,1,Europe
0,NA,0,1,1,NA,NA,NA
13e5,education,1,NA,2,NA,4,Asia
0,other,0,1,2,900,9,Asia
0,NA,0,NA,1,NA,NA,NA
0,NA,0,1,2,NA,NA,NA
0,software,0,2,2,2,2,Europe
7e4,health,2,1,3,1,3,Americas
15e4,biotech,1,1,1,NA,2,Americas
0,real_estate,0,NA,NA,NA,NA,Europe
0,NA,0,1,1,NA,NA,NA
0,software,0,1,3,7,6,Americas
62e4,NA,1,NA,NA,NA,17,Europe
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
0,mobile,1,1,3,3,3,Europe
16291200,manufacturing,1,NA,NA,NA,NA,Europe
35e4,biotech,1,NA,NA,4,2,Americas
0,NA,0,1,1,NA,NA,NA
0,other,0,NA,NA,NA,NA,NA
612042,software,3,1,1,7,4,Europe
15e5,hardware,3,1,3,NA,8,Americas
0,network_hosting,0,1,1,1,2,Europe
0,NA,0,1,1,NA,NA,NA
0,consulting,0,1,1,5,3,Americas
0,NA,0,1,1,NA,NA,NA
0,legal,0,NA,NA,NA,13,NA
225e5,mobile,2,4,4,0,8,Americas
12550,biotech,2,NA,NA,NA,1,Americas
55e4,ecommerce,1,1,7,NA,0,Asia
0,NA,0,1,1,NA,NA,NA
3137232,biotech,1,NA,NA,NA,NA,Europe
0,advertising,0,1,1,6,9,Americas
32500,mobile,1,NA,1,NA,7,Americas
0,other,0,3,7,4,3,Americas
0,web,1,NA,NA,NA,14,Asia
20604685,cleantech,2,NA,NA,NA,1,Europe
25e3,medical,1,1,3,3,1,Americas
0,other,0,NA,2,NA,3,Americas
0,NA,0,1,5,NA,NA,NA
0,ecommerce,0,1,1,10,1,Asia
5e4,biotech,1,NA,2,NA,4,Americas
1362100,public_relations,1,2,4,5,2,Europe
0,search,0,1,7,5,7,Europe
185e5,hardware,1,NA,2,NA,27,Americas
85e5,analytics,4,2,23,10,4,Americas
20900,cleantech,1,NA,2,NA,NA,Americas
0,software,0,NA,3,NA,1,Asia
0,other,0,1,1,10,4,Americas
2572e5,software,4,4,34,221,6,Americas
424e5,web,1,5,36,10000,16,Asia
0,games_video,0,1,1,4,10,Americas
0,ecommerce,0,NA,NA,20,28,NA
0,NA,0,NA,1,NA,NA,NA
572500,advertising,3,1,2,55,7,Asia
0,NA,0,NA,1,NA,NA,NA
322e4,web,1,3,1,25,0,Europe
0,health,0,1,2,5,0,Americas
0,other,0,1,1,100,6,Americas
129e5,cleantech,2,NA,NA,NA,NA,Americas
0,other,0,4,13,130,25,Americas
0,NA,0,NA,1,NA,NA,NA
0,other,0,1,1,NA,0,Americas
7e6,software,1,NA,NA,8,NA,Americas
0,search,0,1,1,NA,6,Americas
0,NA,0,NA,NA,NA,NA,NA
6e5,web,1,1,1,18,8,Europe
505e3,cleantech,1,NA,NA,NA,NA,Americas
0,NA,0,NA,1,NA,NA,NA
14e5,web,2,1,4,10,1,Americas
0,enterprise,0,1,3,25,11,Americas
0,NA,0,1,1,NA,NA,NA
32e5,news,3,1,1,NA,NA,Americas
228e3,medical,1,NA,2,NA,4,Americas
0,NA,0,1,1,NA,NA,NA
0,web,0,2,6,40,7,Oceania
5e4,software,1,1,3,3,0,NA
4e4,web,1,1,2,7,2,Americas
0,consulting,0,1,1,25,5,Americas
0,medical,0,NA,NA,NA,NA,Americas
5e5,software,1,NA,1,NA,2,Americas
0,web,0,1,3,6,1,Europe
0,NA,0,NA,1,NA,NA,NA
0,enterprise,0,1,6,18,2,Americas
0,software,0,1,2,6,29,Americas
0,hardware,0,1,1,3,0,Americas
7e6,education,4,2,10,6,5,Americas
0,software,0,2,5,4,4,Europe
1e5,cleantech,2,1,1,15,3,Asia
0,legal,0,NA,NA,10,26,Americas
0,NA,0,2,12,NA,NA,NA
0,local,0,1,1,NA,20,Americas
0,network_hosting,0,NA,3,3,5,Europe
65e6,network_hosting,1,2,1,210,14,Americas
0,consulting,0,1,2,1,15,Americas
285e3,advertising,1,2,7,6,5,Americas
0,web,0,3,4,3,4,Americas
25e5,pets,2,2,4,7,3,Americas
24e5,software,2,NA,3,NA,2,Americas
0,games_video,0,3,2,3,5,Americas
4167020,manufacturing,1,NA,NA,NA,NA,Europe
0,web,0,1,5,NA,32,Americas
4086e5,network_hosting,9,4,59,700,8,Americas
0,NA,0,1,2,NA,NA,Asia
254e3,software,1,NA,NA,NA,NA,Europe
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
208354,NA,1,NA,2,NA,NA,Oceania
1845e3,mobile,1,NA,3,NA,NA,Americas
6e4,education,1,1,15,NA,1,Americas
0,web,0,1,2,2,2,Americas
35e5,news,2,2,9,4,1,Americas
55e5,biotech,1,NA,2,NA,NA,Europe
0,ecommerce,0,NA,5,5,7,NA
0,web,0,NA,2,7,6,Americas
0,network_hosting,0,1,2,7,10,Asia
0,web,0,1,1,NA,12,Europe
5e5,ecommerce,1,1,3,15,3,Europe
0,other,0,1,9,400,13,Americas
0,consulting,0,NA,NA,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
1154995,NA,1,1,2,NA,4,Americas
3e6,games_video,2,3,18,36,7,Americas
0,other,0,2,18,350,26,Asia
0,software,0,1,1,18,2,Europe
3362e4,medical,1,NA,NA,NA,NA,Americas
0,search,0,1,2,1,5,Asia
0,enterprise,0,1,1,NA,0,Europe
0,NA,0,1,1,NA,NA,NA
29e4,web,1,1,3,4,3,Americas
0,NA,0,NA,NA,NA,NA,Oceania
5e5,mobile,1,NA,1,NA,NA,Americas
2e6,cleantech,1,NA,NA,NA,NA,Americas
2e6,biotech,1,NA,NA,NA,NA,Americas
32e5,games_video,2,1,3,14,6,Oceania
0,software,0,2,2,NA,4,Europe
0,news,0,NA,1,NA,NA,NA
386e5,travel,2,3,5,200,3,Europe
1215e3,software,3,2,5,11,3,Americas
1403072,advertising,4,1,2,9,7,Europe
1e6,consulting,1,2,4,8,2,Americas
3e7,analytics,3,2,10,70,2,Europe
0,software,0,NA,2,NA,1,NA
0,web,0,1,4,5,2,Americas
104999998,biotech,3,1,18,NA,17,Americas
552e3,mobile,1,1,1,4,1,Americas
1e4,public_relations,1,1,2,6,4,Americas
0,web,0,1,2,5,4,Americas
0,NA,0,NA,1,NA,NA,NA
1e7,enterprise,2,1,9,17,2,Americas
0,software,0,1,1,17,17,Europe
4e5,mobile,2,1,8,10,2,Americas
15e5,software,1,2,4,50,7,Europe
15e5,software,1,2,6,15,7,Oceania
1760550,biotech,2,NA,3,NA,4,Americas
0,consulting,0,1,2,25,1,Americas
0,public_relations,0,1,2,4,2,Europe
0,NA,0,1,1,NA,NA,NA
1957e5,other,5,3,16,NA,13,Europe
1486e3,biotech,1,NA,2,NA,13,Americas
0,consulting,0,NA,NA,NA,NA,NA
0,other,0,NA,NA,NA,3,Americas
154392,software,1,1,2,3,2,Europe
0,sports,0,NA,NA,NA,NA,NA
193e5,health,2,2,14,NA,5,Americas
2e5,other,1,NA,NA,NA,NA,Americas
0,software,0,1,2,8,4,Asia
0,games_video,0,NA,NA,NA,NA,NA
26e5,biotech,2,NA,2,NA,7,Americas
1e6,enterprise,1,1,7,20,2,Americas
0,ecommerce,0,1,3,3,3,Americas
0,hardware,0,1,1,15,3,Asia
0,hospitality,0,NA,NA,NA,NA,Europe
0,NA,0,1,2,NA,NA,NA
8e5,web,1,1,5,5,4,Americas
0,other,0,2,4,5,4,Americas
0,NA,0,1,1,NA,NA,NA
59184,music,1,NA,NA,NA,NA,Europe
0,web,0,NA,NA,10,3,NA
0,consulting,0,NA,NA,NA,5,Americas
0,other,0,NA,NA,4,4,NA
1e7,public_relations,1,NA,NA,NA,NA,Americas
255e5,finance,2,2,4,30,2,Americas
385e3,hardware,1,NA,1,1,16,Americas
0,news,0,NA,NA,NA,0,NA
0,search,0,1,1,13,1,Americas
0,software,0,1,1,12,7,Asia
3e5,games_video,1,1,1,7,3,Asia
0,other,0,1,3,50,15,Europe
0,NA,0,1,1,NA,NA,NA
0,mobile,1,2,2,8,2,Asia
0,software,0,1,5,7,5,Americas
7e5,mobile,1,2,3,0,1,Americas
4e7,search,2,1,1,96,7,Asia
0,other,0,NA,NA,NA,NA,NA
71e5,other,4,2,11,35,6,Asia
0,NA,0,NA,NA,NA,NA,NA
0,software,0,1,2,300,25,Europe
19e6,games_video,1,2,3,40,2,Europe
49167,advertising,1,1,2,15,4,Europe
0,NA,0,1,2,NA,NA,NA
3636603,hardware,2,NA,2,NA,NA,Europe
1e5,hardware,1,2,5,5,4,Americas
16e4,software,1,2,2,15,5,Americas
0,advertising,0,1,1,20,14,Europe
3e6,health,1,NA,NA,NA,NA,Americas
0,advertising,0,1,5,6,2,Americas
3e6,consulting,2,2,4,30,5,Americas
2e5,health,1,NA,NA,NA,NA,Americas
0,NA,0,NA,NA,NA,NA,NA
0,other,0,NA,NA,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,2,NA,NA,NA
0,other,0,1,1,NA,1,Americas
25e5,consulting,1,1,23,60,14,Americas
12e6,games_video,1,NA,NA,NA,NA,Americas
0,games_video,0,1,1,20,5,Americas
0,enterprise,0,1,4,20,3,Oceania
3e6,NA,1,NA,NA,NA,NA,Asia
618e3,software,2,2,2,1,3,Europe
1e5,ecommerce,1,1,1,NA,2,Americas
0,ecommerce,0,NA,NA,NA,1,NA
0,advertising,0,1,2,4,4,Americas
757626,biotech,1,NA,3,NA,NA,Europe
18e4,enterprise,1,1,2,3,2,Americas
1e5,software,1,NA,10,NA,5,Asia
0,local,0,NA,NA,NA,0,NA
0,software,0,1,1,3,0,Americas
1e6,social,1,1,4,7,1,Americas
43e6,cleantech,2,NA,15,NA,4,Americas
2e6,enterprise,1,4,10,18,7,Europe
0,NA,0,1,1,NA,NA,NA
56567194,security,6,4,6,50,11,Americas
0,software,0,1,2,4,3,Americas
668806,real_estate,2,NA,3,3,0,Americas
0,other,0,1,3,7,3,Americas
0,advertising,0,1,1,6,3,Americas
0,NA,0,NA,NA,NA,NA,NA
8107500,software,3,2,3,3,1,Americas
195e4,other,2,NA,NA,NA,NA,Americas
0,software,0,1,3,3,3,Europe
0,education,0,1,1,12,2,Europe
0,search,0,1,2,20,6,Asia
435e5,network_hosting,6,2,22,20,7,Americas
2306560,public_relations,1,1,9,20,6,Europe
1e6,medical,1,1,3,NA,NA,Americas
75e5,enterprise,2,2,7,30,3,Americas
0,NA,0,1,1,NA,NA,NA
0,web,0,1,1,5,5,Europe
0,software,0,1,1,60,NA,Americas
0,finance,0,NA,NA,NA,NA,NA
0,other,0,1,3,3,4,Americas
1e3,education,1,1,2,2,8,Americas
58e6,biotech,1,NA,4,NA,1,Europe
0,ecommerce,0,NA,NA,NA,0,NA
0,other,0,NA,NA,NA,2,Americas
0,hardware,0,NA,NA,NA,NA,NA
0,software,0,2,10,60,2,Americas
425e4,software,2,NA,4,30,12,Americas
2643e3,web,2,3,14,12,7,Americas
65e5,NA,2,2,3,NA,3,Europe
0,NA,0,NA,1,NA,NA,NA
375e5,enterprise,3,2,19,130,4,Americas
0,ecommerce,0,1,10,5,2,Americas
0,travel,0,NA,NA,NA,33,NA
0,other,0,NA,NA,NA,NA,Asia
4e6,web,1,1,1,100,7,Asia
38e4,health,1,1,2,10,2,Asia
6312e3,NA,2,NA,1,NA,10,Europe
0,web,0,2,1,NA,6,Europe
0,security,1,NA,NA,NA,16,Europe
0,ecommerce,0,1,1,2,4,Americas
0,advertising,0,1,1,50,13,Asia
129930,games_video,1,1,3,NA,NA,Europe
665600,sports,1,1,3,5,1,Europe
1065750,software,2,1,4,7,3,Europe
0,ecommerce,0,NA,NA,30,3,Americas
0,web,0,1,2,2,4,Europe
3439787,biotech,2,1,1,15,5,Americas
0,software,0,1,1,10,2,Europe
112e5,education,1,NA,NA,NA,5,Americas
1e5,enterprise,1,1,3,4,2,Oceania
0,web,0,NA,NA,NA,NA,NA
25e5,mobile,1,1,1,NA,8,Americas
14e6,finance,2,2,8,25,2,Asia
0,search,0,1,1,1,3,Americas
0,ecommerce,0,NA,NA,10,18,Europe
0,NA,0,NA,NA,NA,NA,NA
0,search,0,NA,1,7,4,Oceania
1e5,advertising,1,1,1,4,1,Americas
507080,ecommerce,1,1,3,10,3,Europe
55e4,software,1,1,2,3,2,Americas
0,search,0,1,2,2,3,Americas
0,NA,0,NA,2,NA,NA,NA
56e5,analytics,4,3,19,15,2,Europe
25e6,games_video,1,1,11,400,3,Europe
0,web,0,NA,NA,NA,8,Americas
0,other,0,NA,NA,NA,NA,NA
22e6,medical,1,NA,2,NA,7,Americas
1407360,automotive,2,1,5,11,2,Americas
0,ecommerce,0,1,6,350,11,Americas
0,nonprofit,0,1,6,7,3,Europe
25e4,mobile,1,1,4,4,1,Americas
0,web,0,NA,4,13,6,Asia
0,software,0,1,3,4,5,Oceania
0,web,0,1,2,5,3,Americas
0,web,0,1,1,4,7,Americas
3e6,hardware,1,NA,NA,NA,NA,Americas
65e5,games_video,2,NA,3,NA,2,Americas
0,other,0,1,3,8,4,Europe
0,NA,0,NA,NA,NA,NA,NA
15e6,software,1,3,30,200,18,Americas
0,other,0,NA,NA,17,5,Europe
1e4,mobile,1,2,2,2,1,NA
1e6,finance,2,2,2,NA,19,NA
0,software,0,1,1,1,2,NA
15e5,ecommerce,2,2,5,50,2,Americas
7e6,software,1,1,3,NA,NA,Americas
177195,web,2,NA,2,4,4,Europe
55e6,biotech,2,1,6,NA,2,Americas
0,consulting,0,1,1,10,10,Europe
511325,advertising,3,2,7,10,4,Americas
0,other,0,1,3,3,2,Europe
22e5,hospitality,1,NA,NA,NA,14,Americas
2998632,biotech,1,1,5,14,3,Americas
0,NA,0,1,1,NA,NA,NA
5e4,software,1,1,3,2,0,Americas
0,biotech,0,1,2,4,1,Americas
0,ecommerce,0,1,3,25,15,Americas
0,NA,0,1,1,NA,NA,NA
33e5,biotech,1,NA,1,NA,10,Americas
25e4,web,1,1,2,7,2,Asia
37565e3,cleantech,4,1,6,80,4,Americas
0,biotech,0,1,2,15,1,Asia
0,NA,1,NA,NA,NA,NA,Americas
0,other,0,NA,NA,2,5,Europe
3475e4,software,4,3,10,150,3,Americas
0,software,0,2,3,100,13,Asia
51756,social,1,1,1,4,1,Europe
0,public_relations,0,NA,NA,33,21,Europe
1998990,network_hosting,1,2,7,NA,10,Americas
0,education,0,NA,NA,NA,NA,NA
9e6,analytics,2,1,4,NA,NA,Americas
2933e4,web,4,2,10,26,9,Americas
0,NA,0,NA,1,NA,NA,NA
8e4,advertising,1,1,3,3,1,Asia
0,consulting,0,1,8,10,2,Americas
0,public_relations,0,1,1,20,31,Africa
1e6,web,1,NA,3,15,6,Americas
5e5,ecommerce,1,2,2,100,5,Asia
155e4,web,2,2,6,6,2,Americas
67999999,medical,3,NA,28,NA,11,Americas
0,games_video,1,1,1,1,5,Oceania
0,legal,0,2,8,NA,42,Americas
2e6,advertising,1,2,2,NA,NA,Americas
0,enterprise,0,1,2,4,1,Americas
22e5,mobile,3,2,15,14,2,Americas
0,NA,0,1,1,NA,NA,NA
175e5,web,3,3,6,NA,11,Americas
464e5,cleantech,5,NA,1,NA,9,Americas
0,web,0,1,1,8,12,Americas
0,mobile,0,1,4,7,3,Americas
6e6,software,1,NA,NA,NA,15,Americas
610548,education,3,3,2,5,4,Americas
0,software,0,1,1,170,13,Asia
26e4,software,1,1,2,5,5,Asia
0,NA,0,NA,NA,NA,4,Americas
0,web,0,2,2,13,1,Americas
11e6,software,2,1,24,NA,13,Americas
0,ecommerce,0,1,2,5,1,Americas
65e4,health,1,NA,NA,NA,4,Americas
0,NA,0,1,1,NA,NA,NA
24e6,web,2,3,6,0,8,Asia
0,other,0,NA,NA,150,7,Asia
6320281,software,1,NA,2,NA,10,Americas
5e5,biotech,1,NA,1,NA,NA,Americas
0,web,0,NA,NA,5,4,Africa
0,NA,0,1,1,NA,NA,NA
2e5,mobile,2,1,4,5,2,Americas
195e5,enterprise,4,2,5,5,2,Americas
12485060,software,5,NA,NA,NA,8,Americas
12e4,advertising,1,NA,NA,NA,0,NA
0,web,1,1,3,0,7,Americas
0,NA,0,1,2,NA,NA,NA
0,NA,0,1,2,NA,NA,NA
0,software,0,NA,8,7,4,NA
0,ecommerce,0,1,1,5,2,Europe
1078813,advertising,2,2,2,10,2,Europe
0,other,0,NA,3,NA,NA,NA
0,advertising,0,1,3,7,6,Americas
15e5,enterprise,2,2,2,20,3,Americas
0,software,0,2,2,4,1,Americas
125e5,health,3,2,12,70,7,Americas
0,other,0,NA,NA,10,4,NA
0,other,0,NA,NA,NA,NA,Americas
1e5,games_video,1,1,2,NA,0,Asia
0,consulting,0,1,1,10,12,Americas
0,other,0,1,5,5,2,Europe
0,software,0,1,2,75,17,Americas
5e5,advertising,1,2,8,10,1,Americas
0,local,0,1,4,NA,1,Americas
0,NA,0,NA,1,NA,NA,NA
7443779,biotech,1,NA,3,NA,NA,Europe
115e5,finance,2,2,3,10,1,Europe
475e3,software,3,1,6,14,2,Americas
12357216,network_hosting,6,2,6,NA,9,Americas
16102499,games_video,2,NA,4,NA,NA,Americas
12e6,enterprise,1,1,5,134,10,Americas
76e5,biotech,2,1,NA,NA,4,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
1e5,news,1,NA,5,30,2,Americas
0,ecommerce,0,1,2,2,2,Americas
2195e3,enterprise,3,2,8,10,4,Americas
0,ecommerce,0,2,2,5,2,Americas
0,NA,0,1,1,NA,NA,NA
53e5,software,2,1,8,50,5,Americas
967e4,enterprise,1,NA,1,NA,NA,Americas
3373e4,enterprise,4,3,10,50,6,Europe
2e6,messaging,2,1,3,NA,4,Asia
0,NA,0,1,1,NA,NA,NA
436e6,ecommerce,5,2,7,NA,1,Asia
0,public_relations,0,1,1,9,11,Europe
5e6,advertising,2,1,5,NA,2,Asia
0,mobile,0,1,4,5,1,Europe
0,other,0,NA,NA,NA,52,Americas
11897e3,semiconductor,1,NA,2,NA,19,Americas
25e5,web,1,1,2,6,6,Americas
0,consulting,0,1,1,1,3,NA
0,software,0,1,1,1,13,Americas
0,software,0,1,3,14,2,Americas
1391800,software,1,1,4,10,6,Europe
14e6,hardware,2,1,7,60,5,Americas
5e6,mobile,1,NA,NA,NA,9,Asia
11e5,ecommerce,1,2,5,NA,3,Americas
0,web,0,2,5,4,6,Europe
18e5,software,1,NA,NA,NA,NA,Americas
340461,mobile,1,NA,1,NA,NA,Americas
0,NA,0,NA,1,NA,NA,NA
0,consulting,0,NA,NA,NA,0,NA
12488104,medical,4,NA,1,NA,NA,Americas
3427888,software,2,NA,NA,NA,NA,NA
0,web,0,1,5,5,4,Americas
75e4,web,1,1,NA,3,NA,NA
545e4,web,2,3,8,10,7,Americas
96e3,software,1,NA,1,NA,1,Americas
0,NA,0,1,1,NA,NA,Europe
0,public_relations,0,1,3,22,9,Europe
0,cleantech,0,NA,4,25,4,NA
319e4,biotech,3,NA,NA,NA,NA,Americas
314e5,web,6,3,20,NA,5,Americas
384e5,analytics,4,2,4,60,7,Americas
0,NA,0,1,1,NA,NA,NA
0,consulting,0,1,2,6,27,Americas
0,web,0,1,2,8,1,Asia
0,other,0,NA,NA,63,20,Americas
0,other,0,1,1,100,15,Europe
213e5,ecommerce,4,3,9,42,6,Americas
0,NA,0,NA,NA,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,games_video,0,NA,NA,15,5,NA
0,advertising,0,2,4,5,4,Americas
0,web,0,1,1,1,2,Americas
0,ecommerce,0,1,4,10,7,Americas
0,software,0,1,2,NA,25,Asia
25e3,social,1,1,4,4,1,Americas
0,web,0,2,5,10,0,Europe
0,web,0,4,2,11,9,Americas
101e5,transportation,3,2,6,NA,6,Europe
625e4,security,2,4,14,10,3,Americas
6545e3,software,2,2,6,NA,5,Americas
254260,mobile,2,1,4,10,1,Europe
0,ecommerce,0,2,7,150,4,Americas
6900036,mobile,5,1,8,NA,16,Americas
4935e3,enterprise,2,3,12,20,4,Americas
0,real_estate,0,NA,NA,NA,7,NA
7e5,advertising,1,2,4,5,3,Americas
89e4,biotech,2,NA,3,NA,12,Americas
20118,mobile,1,2,4,4,3,Europe
175e3,biotech,1,NA,3,NA,NA,Americas
0,ecommerce,0,1,1,15,3,Americas
0,enterprise,0,1,1,3,1,Asia
0,hospitality,1,1,NA,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
1e6,cleantech,1,1,NA,NA,5,Americas
77e5,mobile,2,1,7,35,11,Americas
0,NA,0,NA,NA,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
0,music,0,NA,NA,2,1,Americas
16e5,biotech,1,NA,1,NA,NA,Europe
0,legal,0,1,10,50,25,Europe
1e7,education,1,1,8,NA,14,Americas
0,NA,0,NA,1,NA,NA,NA
8e5,enterprise,1,3,10,NA,2,Americas
2334100,advertising,3,2,5,20,7,Europe
0,NA,0,NA,1,NA,NA,NA
286e5,software,3,1,7,NA,16,Americas
0,NA,0,1,1,NA,NA,NA
5e4,travel,2,2,4,8,2,Africa
