status,category,region,number_of_employees,company_age,number_of_funding_rounds,total_funding_usd,number_of_business_milestones,relationships
acquired,NA,NA,NA,NA,0,0,1,3
acquired,software,NA,NA,NA,0,0,NA,NA
acquired,other,Americas,12,NA,0,0,2,7
closed,web,Americas,5,3,0,0,NA,2
acquired,other,Americas,43,44,0,0,NA,NA
acquired,web,Asia,NA,27,0,0,NA,NA
closed,games_video,Americas,NA,NA,1,990000,1,1
acquired,NA,Americas,NA,29,0,0,1,4
acquired,NA,Europe,NA,NA,0,0,NA,NA
closed,web,NA,5,2,1,18691,1,2
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,enterprise,Europe,36,11,2,601283,1,2
acquired,mobile,Americas,NA,8,1,0,3,7
acquired,NA,Europe,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,3,21
acquired,other,Europe,15,11,0,0,NA,NA
acquired,other,Americas,3,NA,0,0,2,3
closed,ecommerce,Americas,10,NA,0,0,NA,NA
closed,web,Americas,17,3,2,841562,NA,2
closed,software,Americas,14,3,2,495014,1,1
ipo,biotech,Americas,NA,NA,0,0,3,5
acquired,software,Americas,NA,2,0,0,3,1
ipo,public_relations,Americas,NA,NA,0,0,NA,1
acquired,NA,Europe,NA,NA,0,0,NA,NA
acquired,hardware,NA,NA,86,0,0,NA,NA
closed,mobile,Europe,43,2,1,1009973,1,5
acquired,web,Americas,NA,2,0,0,3,4
acquired,software,Europe,NA,NA,0,0,NA,2
acquired,NA,Oceania,NA,NA,0,0,NA,NA
ipo,NA,Americas,NA,NA,0,0,1,NA
acquired,NA,Americas,NA,NA,0,0,1,NA
closed,ecommerce,Americas,4,2,2,405967,1,1
closed,web,NA,NA,2,0,0,1,2
acquired,NA,Oceania,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,NA,1
closed,web,NA,NA,3,0,0,1,2
acquired,biotech,Europe,NA,NA,0,0,NA,NA
acquired,web,Americas,NA,5,0,0,NA,1
acquired,NA,Americas,NA,NA,0,0,NA,NA
ipo,ecommerce,Americas,NA,NA,4,7379085,NA,0
acquired,NA,NA,NA,NA,0,0,NA,2
ipo,biotech,Americas,NA,NA,0,0,NA,2
acquired,enterprise,Americas,15,6,1,252555,1,6
acquired,public_relations,Americas,NA,NA,0,0,NA,NA
closed,social,Americas,NA,5,2,2432560,1,1
closed,enterprise,Americas,NA,3,2,2260535,1,6
acquired,analytics,Americas,NA,3,1,2474957,1,5
acquired,NA,Asia,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,19,0,0,NA,4
ipo,hardware,Americas,NA,NA,0,0,1,4
closed,mobile,Americas,4,2,2,118774,NA,2
acquired,software,NA,NA,NA,0,0,NA,NA
closed,NA,NA,NA,NA,0,0,1,5
closed,social,NA,11,2,2,4045,NA,10
acquired,biotech,Americas,NA,NA,1,3960376,2,9
acquired,NA,Europe,NA,NA,0,0,NA,NA
acquired,NA,NA,NA,NA,0,0,1,1
closed,mobile,Americas,NA,12,1,2574166,NA,NA
acquired,enterprise,Americas,NA,NA,0,0,NA,1
ipo,semiconductor,Americas,NA,NA,0,0,NA,2
ipo,hardware,Americas,NA,NA,0,0,1,7
acquired,web,NA,NA,8,0,0,1,3
closed,software,NA,0,NA,0,0,1,NA
closed,games_video,Europe,5,3,1,195572,1,2
acquired,NA,NA,NA,NA,0,0,1,1
closed,finance,Americas,12,3,3,656391,NA,NA
ipo,mobile,Americas,5,5,1,2574013,3,5
closed,other,Americas,10,2,0,0,NA,1
acquired,biotech,Americas,NA,NA,1,505000,NA,4
acquired,biotech,Americas,NA,NA,0,0,NA,NA
ipo,hardware,Americas,NA,NA,0,0,1,4
acquired,hardware,Asia,NA,NA,0,0,NA,NA
acquired,other,Americas,NA,NA,0,0,NA,NA
ipo,games_video,Americas,NA,NA,0,0,1,2
acquired,web,Americas,NA,NA,0,0,NA,NA
closed,cleantech,Europe,NA,NA,2,5737685,NA,3
acquired,advertising,NA,NA,NA,0,0,NA,NA
ipo,real_estate,Americas,NA,41,0,0,1,5
acquired,NA,NA,NA,NA,0,0,1,1
acquired,web,NA,NA,3,1,0,2,8
acquired,web,NA,6,2,0,0,2,3
closed,web,NA,NA,2,0,0,NA,2
acquired,NA,NA,NA,2,0,0,2,3
closed,web,NA,1,2,0,0,NA,1
acquired,NA,Americas,NA,NA,0,0,0,4
closed,network_hosting,Americas,NA,13,0,0,1,1
acquired,software,Americas,NA,21,0,0,NA,NA
acquired,NA,NA,NA,2,0,0,1,0
ipo,mobile,Americas,NA,NA,0,0,1,5
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,NA,Europe,NA,27,0,0,NA,NA
acquired,messaging,Americas,13,NA,1,5050044,3,4
ipo,network_hosting,Americas,NA,NA,0,0,1,3
acquired,advertising,Americas,NA,2,2,0,1,5
closed,messaging,NA,NA,1,1,0,NA,2
closed,medical,Americas,NA,4,1,5049721,NA,NA
acquired,other,Americas,NA,NA,0,0,NA,NA
closed,web,Americas,NA,NA,1,303018,NA,NA
acquired,NA,Europe,NA,NA,0,0,NA,NA
acquired,analytics,Americas,NA,3,2,3249690,3,4
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,education,NA,NA,8,0,0,1,NA
acquired,NA,Americas,NA,9,0,0,NA,NA
closed,web,Europe,14,3,1,302944,1,1
closed,manufacturing,Europe,NA,4,1,119811,NA,NA
acquired,biotech,Americas,NA,NA,0,0,1,5
acquired,software,Americas,99,14,2,8909561,1,5
closed,messaging,Americas,NA,NA,1,0,1,3
acquired,consulting,Americas,NA,NA,0,0,NA,NA
acquired,NA,NA,NA,NA,0,0,NA,1
acquired,NA,Americas,NA,NA,0,0,1,3
acquired,biotech,Americas,NA,NA,0,0,NA,2
closed,biotech,Americas,NA,NA,1,1010002,NA,1
acquired,software,NA,NA,NA,0,0,1,3
closed,web,Americas,2,3,2,10101,NA,NA
closed,medical,Americas,NA,NA,1,0,NA,NA
acquired,ecommerce,Americas,NA,14,0,0,NA,1
acquired,web,Americas,3,2,2,681642,1,3
acquired,semiconductor,Americas,NA,NA,0,0,NA,1
closed,software,Americas,8,4,0,100945,2,3
acquired,NA,Americas,NA,NA,0,0,NA,NA
closed,games_video,NA,2,3,1,151482,NA,NA
acquired,software,Americas,NA,NA,0,0,1,4
closed,software,Americas,10,2,1,201980,NA,1
closed,consulting,Americas,8,4,1,4941,1,2
acquired,analytics,Americas,18,3,2,8860603,2,24
acquired,NA,Americas,NA,NA,0,0,1,1
acquired,biotech,Americas,NA,NA,0,0,NA,3
acquired,finance,Europe,NA,4,2,1129184,1,0
acquired,hardware,Americas,NA,NA,0,0,NA,1
acquired,NA,Europe,NA,29,0,0,0,1
acquired,mobile,Europe,36,14,0,0,1,1
acquired,other,Asia,5,NA,0,0,NA,1
closed,finance,Americas,NA,2,1,0,2,1
acquired,games_video,Europe,NA,11,0,0,1,NA
acquired,mobile,Europe,NA,6,0,0,NA,NA
acquired,NA,Europe,NA,NA,0,0,NA,NA
acquired,mobile,Americas,NA,3,3,49513,3,4
acquired,biotech,Europe,NA,NA,0,0,NA,1
acquired,enterprise,Americas,NA,2,1,252492,3,8
acquired,mobile,Americas,NA,2,2,6059673,3,5
acquired,NA,Americas,NA,22,0,0,NA,NA
acquired,other,NA,NA,NA,0,0,NA,NA
closed,search,Americas,NA,2,1,0,NA,NA
acquired,web,NA,5,2,0,0,0,NA
acquired,NA,NA,NA,NA,0,0,NA,1
closed,software,Asia,6,2,1,60594,NA,1
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,NA,Asia,NA,28,0,0,NA,NA
acquired,enterprise,Americas,NA,NA,0,0,NA,NA
acquired,enterprise,NA,NA,NA,0,0,NA,NA
acquired,ecommerce,Asia,NA,3,0,0,1,6
closed,software,Americas,3,1,0,0,NA,2
closed,web,Americas,2,2,1,40403,NA,3
acquired,social,Americas,8,2,1,0,2,5
closed,web,NA,2,3,1,0,1,2
closed,web,NA,6,2,0,0,1,2
acquired,advertising,NA,NA,NA,0,0,2,2
acquired,health,Americas,NA,NA,1,311812214,1,3
closed,social,NA,2,2,1,50524,NA,1
acquired,web,Americas,2,2,0,0,1,1
acquired,ecommerce,Americas,NA,3,0,75749852,4,4
acquired,NA,Americas,NA,NA,0,0,NA,1
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,NA,Europe,NA,8,2,64122,1,4
acquired,NA,NA,NA,NA,0,0,2,1
acquired,enterprise,Americas,NA,2,2,7069438,2,6
ipo,mobile,NA,NA,19,0,0,1,6
closed,software,Americas,1,2,0,0,NA,NA
closed,travel,NA,10,2,1,494904,NA,1
acquired,software,Americas,NA,NA,0,0,NA,2
acquired,finance,Asia,NA,5,1,7919679,1,10
acquired,other,NA,NA,4,0,0,1,3
acquired,NA,NA,NA,NA,0,0,1,1
acquired,web,Americas,NA,2,1,0,2,5
acquired,web,NA,NA,NA,0,0,1,2
acquired,software,Europe,NA,NA,0,0,NA,1
acquired,other,Americas,NA,NA,0,0,NA,1
ipo,public_relations,NA,NA,NA,0,0,1,3
acquired,consulting,Americas,NA,NA,0,0,NA,NA
acquired,NA,NA,NA,NA,0,0,1,0
acquired,web,NA,NA,NA,1,0,2,2
closed,mobile,Americas,28,9,3,10023840,2,5
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,health,Americas,NA,NA,2,48757432,1,5
acquired,NA,NA,NA,NA,0,0,2,2
closed,network_hosting,Europe,3,2,1,54446,1,3
closed,semiconductor,Americas,NA,9,3,47690748,NA,4
acquired,software,Americas,NA,NA,0,0,NA,5
closed,software,Europe,3,2,1,7126,1,3
closed,web,NA,3,2,0,0,NA,NA
closed,web,Americas,4,2,0,0,1,4
acquired,NA,Americas,NA,19,0,0,1,2
acquired,enterprise,Americas,NA,NA,0,0,NA,NA
acquired,other,NA,NA,NA,0,0,NA,NA
acquired,games_video,Europe,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,software,Europe,NA,NA,0,0,NA,NA
acquired,NA,NA,NA,NA,0,0,1,1
closed,games_video,Europe,4,2,0,0,1,4
acquired,NA,NA,NA,NA,0,0,1,1
acquired,enterprise,Americas,NA,NA,0,0,NA,NA
closed,ecommerce,Americas,NA,2,0,0,1,NA
acquired,ecommerce,Asia,5,2,0,0,NA,2
acquired,hardware,Americas,NA,NA,0,0,NA,NA
acquired,biotech,Americas,NA,NA,0,0,NA,2
closed,consulting,NA,5,4,1,49485,1,1
closed,web,Americas,9,2,3,111082,3,13
acquired,web,Americas,NA,2,0,0,1,NA
acquired,search,NA,1,2,0,0,NA,1
acquired,other,NA,60,19,0,0,2,2
acquired,other,Americas,NA,NA,0,0,NA,NA
closed,analytics,Americas,NA,NA,1,1716916,NA,1
acquired,software,Americas,5,2,1,18676,NA,NA
acquired,web,NA,10,2,0,0,NA,NA
closed,hardware,Americas,10,4,2,744381,1,2
acquired,NA,Europe,NA,1,0,0,NA,NA
acquired,web,NA,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,NA,NA
ipo,manufacturing,Americas,NA,12,1,19800396,2,6
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,enterprise,Americas,NA,NA,1,0,1,7
acquired,hardware,Americas,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,NA,NA
ipo,NA,Americas,NA,NA,0,0,2,3
acquired,web,NA,NA,NA,0,0,NA,NA
ipo,cleantech,Americas,NA,NA,0,49678925,1,NA
acquired,music,Europe,7,3,1,286960,1,2
closed,ecommerce,Americas,13,4,4,897932,1,6
acquired,biotech,Americas,NA,NA,0,0,NA,NA
ipo,hardware,Americas,NA,NA,0,0,1,7
acquired,search,Americas,NA,82,0,0,1,1
acquired,software,NA,NA,4,0,0,2,3
closed,games_video,Americas,5,3,3,134254,2,6
acquired,mobile,Americas,3,2,0,0,1,2
closed,music,Asia,5,4,2,643600,1,4
closed,social,Americas,6,4,2,321830,1,5
closed,mobile,Europe,NA,NA,3,523350,NA,NA
acquired,NA,Europe,NA,NA,0,0,NA,NA
closed,web,Europe,11,2,1,1336351,1,3
acquired,ecommerce,Americas,NA,NA,0,0,4,2
closed,web,NA,2,NA,0,0,1,1
acquired,mobile,Americas,149,10,0,0,NA,6
closed,web,Americas,8,2,1,1484946,2,3
acquired,other,Americas,NA,NA,0,0,NA,NA
acquired,biotech,Americas,NA,NA,0,0,1,14
acquired,NA,Americas,NA,NA,0,0,1,3
acquired,advertising,Americas,NA,2,2,4646535,2,5
closed,web,Americas,NA,2,1,0,1,4
closed,photo_video,Americas,6,2,3,2449352,3,4
acquired,NA,Americas,NA,5,0,0,NA,NA
acquired,mobile,Americas,21,2,1,7920073,4,6
acquired,web,NA,NA,7,2,14783123,NA,4
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,NA,Asia,NA,NA,0,0,NA,NA
closed,web,NA,1,2,1,121173,NA,NA
acquired,advertising,Europe,NA,NA,0,0,1,1
closed,social,NA,0,2,1,30327,1,NA
acquired,NA,NA,NA,NA,0,0,1,2
acquired,NA,Americas,NA,20,0,0,NA,NA
acquired,biotech,NA,14,3,1,505018,1,1
acquired,NA,NA,NA,NA,0,0,1,1
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,15,0,0,NA,NA
acquired,software,Americas,NA,NA,0,0,NA,NA
ipo,software,Americas,NA,NA,5,10605491,1,1
acquired,web,Americas,7,2,2,4039890,1,7
acquired,enterprise,Americas,5,2,1,252551,1,2
acquired,ecommerce,Asia,4,2,0,0,1,2
acquired,hardware,Americas,NA,NA,1,272184,NA,5
closed,photo_video,NA,3,2,1,14863,NA,1
closed,social,Americas,29,4,1,2969637,NA,2
acquired,advertising,Europe,NA,NA,0,0,NA,NA
acquired,NA,NA,NA,NA,0,0,NA,1
acquired,NA,Americas,NA,NA,1,126249883,1,1
closed,advertising,Americas,NA,3,1,0,NA,NA
closed,mobile,Americas,NA,2,2,21399,1,2
acquired,web,NA,NA,2,0,0,1,4
acquired,NA,Americas,NA,12,0,0,NA,NA
acquired,security,Americas,NA,13,1,0,NA,8
acquired,biotech,Americas,NA,17,1,18850936,NA,2
ipo,biotech,Americas,NA,NA,0,0,1,5
ipo,advertising,Americas,NA,8,8,117564171,3,24
closed,search,Africa,NA,2,0,0,NA,NA
acquired,software,Europe,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,14,0,0,1,2
closed,ecommerce,NA,NA,2,1,0,1,5
closed,web,NA,NA,2,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,NA,NA
closed,mobile,Americas,4,5,0,0,NA,NA
closed,web,Americas,NA,2,1,0,NA,4
acquired,biotech,Europe,NA,10,0,0,NA,1
acquired,search,Americas,NA,2,1,505027,1,7
acquired,hardware,Americas,NA,NA,0,0,NA,NA
acquired,ecommerce,Americas,NA,3,1,19821,NA,NA
closed,software,NA,NA,NA,3,10473663,NA,2
acquired,web,Americas,NA,NA,0,0,NA,NA
acquired,ecommerce,Europe,NA,NA,0,0,1,1
acquired,consulting,Americas,NA,NA,0,0,NA,1
acquired,enterprise,Americas,NA,2,2,1994718,2,6
acquired,NA,Oceania,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,1,3
acquired,enterprise,Americas,NA,NA,1,0,1,3
acquired,NA,Americas,NA,NA,0,0,1,2
acquired,software,Americas,NA,NA,0,0,1,6
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,fashion,Europe,60,2,1,0,NA,3
closed,ecommerce,NA,3,2,1,29692,NA,NA
acquired,other,Americas,NA,32,0,0,1,3
acquired,NA,NA,NA,NA,0,0,1,NA
closed,mobile,Americas,NA,2,1,100994,NA,NA
closed,search,Americas,NA,NA,2,555460,2,3
acquired,mobile,Americas,NA,2,2,2969973,2,4
acquired,analytics,Americas,10,2,1,505028,2,7
ipo,social,Asia,NA,NA,0,0,2,1
acquired,network_hosting,Americas,NA,NA,0,0,NA,NA
closed,fashion,NA,NA,3,1,0,NA,NA
acquired,games_video,Europe,NA,NA,1,0,2,5
closed,advertising,NA,27,3,1,494961,NA,NA
closed,sports,NA,6,3,1,24757,1,3
acquired,NA,Americas,NA,11,0,0,NA,1
acquired,NA,NA,NA,NA,0,0,1,1
ipo,enterprise,Americas,NA,NA,0,0,1,5
acquired,software,Americas,NA,NA,0,0,NA,1
acquired,web,NA,4,5,0,0,NA,3
acquired,ecommerce,NA,11,2,0,0,NA,NA
acquired,NA,NA,NA,NA,0,0,1,1
acquired,web,Europe,15,2,1,0,2,2
closed,advertising,Europe,15,3,2,169236,1,1
closed,web,NA,6,1,1,148515,NA,2
acquired,public_relations,Europe,9,3,0,0,2,3
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,hardware,Americas,NA,NA,0,0,NA,3
acquired,biotech,Americas,NA,NA,0,0,NA,6
acquired,hardware,Americas,NA,NA,0,0,NA,NA
acquired,other,Europe,NA,NA,0,0,NA,3
ipo,software,Americas,NA,29,1,3168022,1,10
acquired,mobile,Europe,NA,NA,0,0,NA,NA
acquired,software,Americas,15,NA,0,0,1,2
closed,web,Americas,4,2,0,0,3,3
acquired,enterprise,Americas,NA,NA,0,0,NA,NA
closed,medical,Americas,NA,5,3,31235277,NA,1
ipo,software,Americas,NA,12,5,7629448,2,19
acquired,NA,Europe,NA,NA,0,0,NA,NA
acquired,NA,Europe,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,4,0,0,1,3
acquired,NA,NA,NA,NA,0,0,NA,1
closed,software,NA,1,3,2,841393,1,3
acquired,software,NA,NA,NA,0,0,NA,NA
acquired,ecommerce,Europe,NA,NA,1,1442703,1,1
closed,NA,Americas,10,2,0,0,NA,NA
closed,biotech,Americas,NA,3,0,7919936,NA,2
acquired,automotive,Americas,NA,2,1,1287200,2,4
acquired,software,Americas,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,30,0,0,1,1
closed,games_video,Europe,6,2,0,0,0,2
acquired,web,NA,NA,NA,0,0,1,1
acquired,mobile,Americas,22,2,0,0,2,5
acquired,web,Americas,5,2,0,0,2,2
closed,NA,NA,NA,4,0,0,1,5
closed,biotech,Americas,NA,13,2,6991006,NA,2
acquired,software,NA,NA,NA,0,0,1,1
acquired,other,Americas,NA,NA,0,0,NA,1
acquired,games_video,Americas,NA,NA,0,0,NA,1
acquired,web,NA,5,2,0,0,NA,1
ipo,biotech,Americas,NA,NA,1,9292126,2,4
acquired,software,Asia,NA,NA,0,0,1,1
acquired,news,Americas,NA,1,2,252608,3,3
acquired,software,NA,NA,NA,1,0,1,1
acquired,biotech,Americas,NA,NA,0,0,NA,3
acquired,enterprise,Americas,NA,NA,0,0,NA,1
acquired,software,Americas,NA,NA,0,0,NA,NA
closed,sports,Europe,14,4,2,869411,1,4
acquired,NA,Americas,NA,NA,0,0,NA,1
acquired,ecommerce,Americas,40,NA,0,0,1,1
closed,security,Americas,8,3,1,123787,1,5
acquired,software,Europe,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,13,0,0,NA,NA
acquired,ecommerce,Americas,NA,2,0,0,NA,NA
acquired,NA,NA,NA,NA,0,0,NA,0
acquired,ecommerce,Americas,NA,NA,0,0,NA,NA
acquired,NA,NA,NA,NA,0,0,2,1
closed,ecommerce,Europe,7,3,0,0,1,NA
acquired,software,Europe,NA,9,0,0,NA,NA
acquired,software,Americas,247,22,0,0,NA,NA
acquired,security,Americas,50,2,2,1484981,1,2
closed,advertising,Americas,5,2,1,102437,1,4
acquired,mobile,NA,NA,2,0,0,1,NA
closed,software,Asia,6,2,1,60589,1,3
closed,enterprise,Americas,NA,NA,1,0,NA,NA
acquired,ecommerce,Americas,NA,4,0,0,1,3
acquired,NA,Europe,NA,NA,0,0,NA,NA
acquired,biotech,Americas,NA,NA,0,0,2,10
acquired,mobile,Americas,NA,NA,0,0,1,2
acquired,other,Americas,10,6,0,0,0,2
acquired,software,Americas,NA,NA,0,0,NA,NA
acquired,enterprise,Asia,NA,NA,0,19800711,1,1
acquired,security,Americas,20,4,0,0,1,2
closed,messaging,NA,18,1,2,0,1,3
ipo,mobile,Asia,NA,NA,0,0,NA,NA
closed,web,NA,2,2,0,0,1,2
ipo,enterprise,Americas,NA,NA,0,0,1,11
closed,social,NA,NA,NA,1,247541,NA,2
acquired,consulting,Americas,50,8,0,0,1,5
acquired,biotech,Europe,NA,NA,0,0,NA,2
acquired,games_video,Asia,NA,NA,0,0,NA,1
ipo,biotech,Americas,NA,NA,2,98981592,1,8
closed,web,NA,4,NA,0,0,NA,2
closed,ecommerce,Americas,0,0,0,0,0,1
acquired,enterprise,Europe,NA,NA,2,0,1,2
acquired,security,Americas,NA,5,0,0,NA,1
ipo,other,Americas,NA,NA,0,0,NA,1
acquired,hardware,Americas,NA,NA,0,0,NA,NA
acquired,web,Americas,NA,5,0,0,NA,2
acquired,network_hosting,Asia,NA,NA,1,7070391,1,4
ipo,biotech,Americas,NA,NA,0,0,1,2
acquired,analytics,Americas,8,2,2,1237465,2,2
ipo,mobile,Asia,NA,NA,0,0,2,14
acquired,advertising,NA,NA,NA,0,0,NA,NA
acquired,web,Americas,NA,2,1,0,1,NA
acquired,public_relations,NA,24,NA,0,0,NA,1
closed,software,Europe,1,2,1,20871,1,2
acquired,other,Europe,30,7,0,0,1,2
acquired,web,NA,4,2,0,0,0,1
acquired,education,NA,NA,NA,0,0,NA,NA
acquired,medical,Americas,NA,NA,1,0,NA,3
acquired,software,NA,NA,NA,0,0,NA,NA
acquired,software,Europe,2,2,0,0,1,2
closed,web,Asia,3,NA,1,38368,1,2
acquired,software,Oceania,NA,NA,0,0,NA,NA
acquired,NA,Americas,NA,12,0,0,NA,NA
closed,automotive,NA,3,2,2,5302374,2,6
acquired,NA,NA,NA,NA,0,0,1,2
acquired,NA,NA,NA,NA,0,0,1,3
acquired,mobile,NA,NA,NA,0,0,NA,1
acquired,hardware,Europe,9,NA,1,990040,1,1
acquired,software,NA,NA,NA,0,0,NA,NA
ipo,hardware,Americas,NA,NA,0,0,1,5
acquired,education,Americas,NA,NA,0,0,NA,NA
acquired,web,Europe,10,2,1,0,1,4
acquired,ecommerce,Americas,NA,NA,0,0,1,5
acquired,design,Americas,NA,2,2,706944,NA,3
acquired,biotech,Americas,NA,NA,1,68176104,1,11
acquired,software,Americas,NA,NA,0,0,NA,1
acquired,web,NA,NA,NA,0,0,NA,NA
closed,web,Americas,18,NA,1,247580,2,5
acquired,ecommerce,NA,4,2,1,0,2,7
acquired,hardware,Americas,NA,NA,0,0,NA,3
acquired,biotech,Americas,NA,NA,0,0,NA,NA
ipo,NA,Americas,NA,NA,0,0,1,3
ipo,enterprise,Americas,17,NA,10,1469667,1,9
acquired,consulting,Americas,NA,NA,0,0,NA,NA
closed,mobile,Americas,NA,3,0,0,NA,1
closed,health,Americas,NA,2,1,99043,NA,3
closed,hospitality,Americas,3,4,0,24751,2,2
acquired,advertising,NA,NA,NA,0,0,NA,NA
acquired,ecommerce,Europe,NA,NA,0,0,NA,NA
acquired,advertising,NA,NA,NA,0,0,NA,NA
acquired,hardware,Americas,NA,NA,0,0,NA,NA
closed,social,Europe,7,2,1,70696,1,3
acquired,other,Europe,3,7,0,0,NA,NA
acquired,web,Americas,2,1,0,0,1,3
closed,other,Americas,3,NA,1,247559,NA,1
acquired,web,Americas,NA,2,0,0,2,3
acquired,ecommerce,NA,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,NA,0,0,NA,1
closed,ecommerce,NA,1,2,1,2529,NA,NA
acquired,other,Americas,33,9,0,0,2,4
closed,health,Americas,NA,NA,4,25755369,NA,3
acquired,web,Americas,NA,18,0,0,1,3
acquired,web,NA,NA,13,0,0,NA,NA
closed,cleantech,Europe,NA,NA,1,2688263,NA,NA
ipo,ecommerce,Americas,NA,NA,0,0,2,1
acquired,NA,Americas,NA,NA,0,0,1,3
closed,social,Europe,20,4,2,1386043,NA,NA
acquired,software,Americas,5,4,0,0,1,4
acquired,NA,Americas,NA,11,0,0,NA,NA
closed,ecommerce,NA,NA,NA,0,0,NA,1
acquired,software,Europe,NA,4,0,0,2,2
closed,software,Americas,NA,4,1,0,1,1
closed,advertising,Americas,20,NA,1,1010049,NA,NA
acquired,software,NA,NA,NA,0,0,1,NA
acquired,security,Americas,NA,4,0,0,NA,NA
acquired,hardware,Americas,NA,NA,0,0,1,1
acquired,ecommerce,NA,NA,NA,0,0,NA,NA
acquired,advertising,NA,19,6,0,0,1,2
closed,other,NA,5,2,0,0,1,2
closed,public_relations,NA,3,2,0,0,1,3
acquired,NA,NA,NA,NA,0,0,1,1
acquired,software,Americas,NA,NA,0,0,1,9
closed,software,Americas,5,2,1,494996,1,1
acquired,software,Europe,15,6,2,3910630,1,8
acquired,software,Americas,NA,NA,0,0,NA,3
closed,ecommerce,Americas,11,2,2,25224,1,2
acquired,ecommerce,Americas,NA,22,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,software,Americas,NA,NA,0,0,NA,NA
closed,ecommerce,NA,NA,2,0,0,1,2
acquired,mobile,Americas,NA,NA,2,1485123,1,1
acquired,mobile,Americas,30,4,0,0,NA,5
acquired,software,Americas,50,9,0,0,NA,5
ipo,semiconductor,Americas,NA,NA,0,0,1,10
closed,ecommerce,Europe,NA,2,2,22269,1,2
closed,web,Americas,10,2,0,0,1,10
closed,fashion,Oceania,NA,NA,2,0,1,2
acquired,software,NA,5,2,0,0,NA,1
acquired,NA,Americas,NA,NA,0,0,1,1
closed,enterprise,Americas,NA,2,1,59421,1,3
acquired,mobile,Europe,5,2,0,0,2,4
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,mobile,Europe,NA,2,2,1514808,2,12
acquired,software,Europe,35,12,0,0,1,3
acquired,consulting,Africa,2,6,0,0,1,1
acquired,advertising,Americas,NA,13,0,0,1,NA
acquired,software,NA,NA,NA,0,0,NA,NA
closed,software,Americas,2,2,1,69356,2,3
closed,web,Europe,2,2,1,1537,NA,1
acquired,enterprise,Americas,NA,3,0,0,1,4
closed,social,Americas,24,2,2,148515,NA,1
acquired,software,Americas,NA,NA,0,0,NA,NA
closed,social,Americas,8,2,1,100946,2,4
ipo,hardware,Americas,NA,NA,0,0,2,11
closed,sports,Europe,8,2,2,174216,1,1
acquired,NA,Europe,NA,NA,0,0,NA,NA
acquired,software,NA,NA,NA,0,0,NA,NA
acquired,semiconductor,NA,9,15,0,0,NA,2
acquired,other,Europe,NA,3,0,0,NA,2
acquired,NA,Americas,NA,NA,0,0,1,4
acquired,NA,Americas,NA,NA,0,0,NA,1
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,mobile,Americas,40,12,0,0,1,2
ipo,biotech,Americas,NA,NA,1,4950030,0,5
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,public_relations,Americas,NA,NA,0,0,NA,2
ipo,public_relations,NA,NA,NA,0,0,NA,NA
acquired,hardware,Americas,NA,NA,0,0,NA,NA
acquired,ecommerce,NA,NA,11,0,0,1,1
acquired,advertising,Americas,9,2,0,0,1,1
closed,cleantech,Europe,NA,NA,1,8072667,1,2
acquired,NA,Americas,NA,NA,0,0,NA,NA
acquired,cleantech,NA,NA,NA,0,0,NA,NA
closed,social,NA,3,NA,0,19806,1,3
closed,ecommerce,Americas,7,2,1,0,1,4
acquired,NA,Americas,NA,NA,0,0,NA,1
acquired,NA,NA,NA,5,0,0,1,2
acquired,software,NA,NA,11,0,0,1,2
acquired,NA,Americas,NA,27,0,0,NA,NA
acquired,NA,Americas,NA,NA,0,0,1,3
acquired,NA,Americas,NA,NA,0,0,1,3
